   t(i)                        z(i)                      v(i)
   0.0000000000000000        0.0000000000000000       -4.4119999999999999     
   1.0000000000000000       -4.4119999999999999       -7.9855000000000000     
   2.0000000000000000       -15.971000000000000       -14.424166666666665     
   3.0000000000000000       -32.689999999999998       -18.784666666666666     
   4.0000000000000000       -53.134000000000000       -21.954499999999999     
   5.0000000000000000       -76.299999999999997       -24.240000000000002     
   6.0000000000000000       -101.39700000000001       -25.883583333333338     
   7.0000000000000000       -127.91400000000000       -27.079916666666666     
   8.0000000000000000       -155.44300000000001       -27.938750000000006     
   9.0000000000000000       -183.70900000000000       -28.549166666666650     
   10.000000000000000       -212.49199999999999       -29.036166666666666     
   11.000000000000000       -241.71600000000001       -29.252500000000012     
   12.000000000000000       -271.06500000000000       -29.771666666666640     
   13.000000000000000       -301.26299999999998       -30.610583333333327     
   14.000000000000000       -331.60800000000000       -28.000000000000021     
   15.000000000000000       -358.73300000000000       -31.608499999999992     
   16.000000000000000       -394.82499999999999       -36.091999999999985     
